dam_name,county,state,latitude,longitude
Mcknight Lake Dam,Coweta,GA,33.26324,-84.56727
Melody Lakes Dam,Harris,GA,32.69748,-84.71723
Mill Glen Lake Dam,Douglas,GA,33.702778,-84.751667
Mill-Canton Creek W/S Str. # 6,Cherokee,GA,34.17066,-84.44969
Moon Lake Dam,Henry,GA,33.463440000000006,-84.16045
Mountaintown Creek Ws Str # 1,Gilmer,GA,34.78743,-84.53245
Mountaintown Creek Ws Str # 2,Gilmer,GA,34.811389,-84.55444399999999
Mountaintown Creek Ws Str # 4,Gilmer,GA,34.726,-84.63816
N. Ga. Rendering Plant Oxidation Pond Dam,Forsyth,GA,34.280833,-84.053611
Nelson Hill Subdivision Lake Dam,Lowndes,GA,30.924166999999997,-83.323611
Nicholson Lake Dam,Clayton,GA,33.584444,-84.274722
Noonday Creek Ws Str # 17,Cobb,GA,34.07585,-84.55301999999999
Noonday Creek Ws Str # 4,Cobb,GA,34.06395,-84.54451
North Broad River W/S Str. #38,Franklin,GA,34.41488,-83.13552
North Fork Broad River Ws Str # 1,Stephens,GA,34.571028000000005,-83.3637
North Fork Broad River Ws Str # 13,Stephens,GA,34.49905,-83.23629
North Fork Broad River Ws Str # 5,Stephens,GA,34.475,-83.253889
Odom Lake Dam,Worth,GA,31.540306,-83.866794
Palmetto Creek Structure # 1 Dam,Harris,GA,32.788056,-84.863333
Parker Lake Dam,Whitfield,GA,34.635,-84.97027800000001
Pegamore Lake Dam,Paulding,GA,34.00671,-84.93128
Pfau Lake Dam,White,GA,34.582221999999994,-83.731944
Piedmont Lake Dam,Harris,GA,32.800278000000006,-85.001667
Pine Log Creek Dam No. 86,Gordon,GA,34.4846,-84.85865
Pine Log Creek Watershed Str #66,Bartow,GA,34.308611,-84.726111
Plantation Subdivision Lake Dam,Douglas,GA,33.686944,-84.73208299999999
Posey Lake Dam,Rabun,GA,34.978982,-83.453284
Potato Creek W/S Str. #66,Pike,GA,33.06751,-84.29029
Pumpkinvine Creek  Ws Str  # 50,Paulding,GA,33.89775,-84.85843
Pumpkinvine Creek W/S Str. # 2 Dam,Bartow,GA,34.09313,-84.80404
Pumpkinvine Creek W/S Str. # 3,Paulding,GA,33.927222,-84.82583299999999
Pumpkinvine Creek W/S Str. #26,Paulding,GA,33.859444,-84.871667
Pumpkinvine Creek Ws Str #1,Paulding,GA,34.082221999999994,-84.79333299999999
Rainbow Lake Dam,Gilmer,GA,34.749829999999996,-84.60313000000001
Rainbow Lake Dam,Lumpkin,GA,34.625417,-83.973889
Ridge Brooke Lake Dam,Paulding,GA,33.80614,-84.84891999999999
Rocky Comfort W/S Str. #50,Warren,GA,33.4225,-82.666944
Roskin Lake Dam,Lumpkin,GA,34.44167,-83.95444
Sallacoa Creek Watershed Dam #77,Gordon,GA,34.52632,-84.69771999999999
Sandy Creek Ws Structure  #23,Jackson,GA,34.139444,-83.40916700000001
Sandy Creek Ws Structure # 12,Jackson,GA,34.147222,-83.376389
Sandy Creek Ws Structure # 15,Jackson,GA,34.176944,-83.401944
Sautee Creek W/S Str. #12,White,GA,34.72379,-83.67477
Sautee Creek W/S Str. #13,White,GA,34.70655,-83.67334
Seagraves Mill Pond Dam,Madison,GA,34.09644,-83.35618000000001
Sequoyah Lake Dam,Pickens,GA,34.544167,-84.37138900000001
Settingdown Creek Sub Ws Str # 27,Forsyth,GA,34.2682,-84.25200000000001
Settingdown Creek Ws Str # 25,Forsyth,GA,34.264167,-84.186111
Settingdown Creek Ws Str # 30 A,Forsyth,GA,34.246666999999995,-84.220556
Settingdown Creek Ws Str # 54,Forsyth,GA,34.309722,-84.100278
Settingdown Creek Ws Str # 56,Forsyth,GA,34.314609999999995,-84.07016
Settingdown Creek Ws Str # 6,Forsyth,GA,34.29265,-84.0827
Seventh Day Adventist Lake Dam,Murray,GA,34.891056,-84.72805600000001
Sharp Mountain Creek Ws Str # 1,Pickens,GA,34.440059999999995,-84.46095
Sharp Mountain Creek Ws Str # 12,Pickens,GA,34.43926,-84.4421
Sharp Mountain Creek Ws Str # 13,Pickens,GA,34.41191,-84.43027
Sharp Mountain Creek Ws Str # 2,Pickens,GA,34.431944,-84.465556
Sharp Mountain Creek Ws Str # 22,Pickens,GA,34.425833000000004,-84.40722199999999
Shaw Lake Dam,Gilmer,GA,34.80145,-84.445264
Sibley Millpond Dam,Coweta,GA,33.247222,-84.728611
Simpson Lake Dam,Harris,GA,32.625,-84.918806
Skyland Lake Dam,Henry,GA,33.344167,-84.08555600000001
Soque Creek W/S Str. #44,Habersham,GA,34.609183,-83.446936
Soque River Ws Str # 13,Habersham,GA,34.65416,-83.57972
South  River W/S Str. # 51,Madison,GA,34.12944,-83.27696999999999
South Fork Broad River W/S Str. # 65,Oglethorpe,GA,33.918079999999996,-83.18981
South Fork Broad River W/S Str. #64,Madison,GA,34.09793,-83.1231
South Fork Broad River Ws Str # 35,Madison,GA,34.09328,-83.29653
South Fork River Ws Str # 27,Madison,GA,34.147909999999996,-83.27089000000001
South Fork River Ws Str # 31,Madison,GA,34.047736,-83.276489
Stonebridge Lake Dam,Floyd,GA,34.339444,-85.189444
Stonegate Lake Dam,Fulton,GA,34.049167,-84.399722
Stringers Lake Dam,Polk,GA,33.99277,-85.106111
Summit Chase No. 1 Dam (Upstream),Gwinnett,GA,33.854167,-83.97027800000001
Talking Rock Creek W/S Str. # 1,Pickens,GA,34.453610999999995,-84.597778
Talking Rock Creek Ws Str # 13,Pickens,GA,34.51318,-84.48042
Tara Lake Dam,Appling,GA,31.81025,-82.31300999999999
Tara Lake Dam,Carroll,GA,33.645678000000004,-84.916622
Tera Lee Lake Dam,Fulton,GA,33.899528000000004,-84.393556
The Farm Lake Dam,Oconee,GA,33.84688,-83.5133
Timber Lake Dam,Cobb,GA,34.03417,-84.59944
Trout Farm Lake Dam,Towns,GA,34.985240000000005,-83.70841999999999
Vogel State Park Lake Dam,Union,GA,34.76931,-83.91702
Walden Woods Lake Dam,Washington,GA,33.006640000000004,-82.78934
Walter Richards Lake Dam,Harris,GA,32.70344,-85.07559
Watson Road Lake Dam,Forsyth,GA,34.256111,-84.203056
Weems Lake Dam,Henry,GA,33.491667,-84.241111
Wigley Lake Dam,Cobb,GA,34.005556,-84.51527800000001
Willow Lake Dam,Fulton,GA,33.993936,-84.289389
Willow Pond,Paulding,GA,34.044990000000006,-84.75429
Woodbridge Lake Dam,Columbia,GA,33.561440000000005,-82.15265
York Lake Dam,Polk,GA,34.006170000000004,-85.31021
Young Lake Dam,Fannin,GA,34.855556,-84.39
Aahoaka Reservoir,Kauai,HI,22.040388,-159.402379
Aepoekolu Reservoir,Kauai,HI,21.907991,-159.487699
Elima Reservoir,Kauai,HI,21.929962,-159.531674
Field 1 Kealia Reservoir,Kauai,HI,22.130470000000003,-159.35218799999998
Field 2 Kealia Reservoir,Kauai,HI,22.129532,-159.345087
Halenanahu Reservoir,Kauai,HI,21.964972,-159.432083
Hanakaoo Reservoir,Maui,HI,20.928707,-156.648924
Hawi No. 5 Reservoir,Hawaii,HI,20.247016000000002,-155.843758
Hc&S Reservoir 14,Maui,HI,20.910645000000002,-156.348805
Hc&S Reservoir 15,Maui,HI,20.905023,-156.34745800000002
Hc&S Reservoir 20,Maui,HI,20.871179,-156.341573
Hc&S Reservoir 24,Maui,HI,20.887562,-156.355392
Hc&S Reservoir 42,Maui,HI,20.825567000000003,-156.37964399999998
Hc&S Reservoir 52,Maui,HI,20.859574,-156.40258500000002
Hc&S Reservoir 61,Maui,HI,20.872459,-156.412256
Hc&S Reservoir 70,Maui,HI,20.873616000000002,-156.435145
Hc&S Reservoir 73,Maui,HI,20.877623,-156.495606
Hc&S Reservoir 81,Maui,HI,20.814456,-156.416676
Hc&S Reservoir 84,Maui,HI,20.840815,-156.42505
